quote,author,category,escola
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",Niilismo / Existencialismo (precursor)
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,"courage, deeply-loved, love, strength, widely-misattributed",Taoismo
"Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet.",Plato,"love, poetry, song",Platonismo
There is always some madness in love. But there is also always some reason in madness.,Friedrich Nietzsche,"love, madness",Niilismo / Existencialismo (precursor)
The man of knowledge must be able not only to love his enemies but also to hate his friends.,Friedrich Nietzsche,"enemies, friends, friendship, hatred, intelligence, knowledge, love, wisdom",Niilismo / Existencialismo (precursor)
The heart has its reasons which reason knows not.,Blaise Pascal,"heart, love, quip, reason",Jansenismo / Existencialismo Cristão (precursor)
"One ought to hold on to one's heart; for if one lets it go, one soon loses control of the head too.",Friedrich Nietzsche,"emotions, heart, insanity, love, rationality, reason",Niilismo / Existencialismo (precursor)
"Amor Fati – “Love Your Fate”, which is in fact your life.",Friedrich Nietzsche,"fate, inspirational, life, love",Niilismo / Existencialismo (precursor)
"Ultimately, it is the desire, not the desired, that we love.",Friedrich Nietzsche,"desire, love",Niilismo / Existencialismo (precursor)
"In itself, homosexuality is as limiting as heterosexuality: the ideal should be to be capable of loving a woman or a man; either, a human being, without feeling fear, restraint, or obligation.",Simone de Beauvoir,"freedom-of-choice, heterosexuality, homosexuality, love",Existencialismo / Feminismo
"In love, one and one are one.",Jean-Paul Sartre,love,Existencialismo
"Nothing in life is worth,turning your back on,if you love it.",Albert Camus,"life, love",Existencialismo / Absurdismo
Love is a state in which a man sees things most decidedly as they are not.,Friedrich Nietzsche,love,Niilismo / Existencialismo (precursor)
"One's life has value so long as one attributes value to the life of others, by means of love, friendship, and compassion",Simone de Beauvoir,"friendship, love, philosophy, women",Existencialismo / Feminismo
Love is a drama of contradictions.,Franz Kafka,love,Existencialismo (influência) / Absurdo
"You're my Star, a stargazer too,and I wish that I were Heaven,with a billion eyes to look at you!",Plato,love,Platonismo
"Human relationships always help us to carry on because they always presuppose further developments, a future - and also because we live as if our only task was precisely to have relationships with other people.",Albert Camus,"future, love, relationships, society",Existencialismo / Absurdismo
"Love, and you shall be loved.",Ralph Waldo Emerson,love,Transcendentalismo
The spiritualization of sensuality is called love: it is a great triumph over Christianity.,Friedrich Nietzsche,"anti-christian, christianity, love, sensuality, spirituality",Niilismo / Existencialismo (precursor)
May I kiss you then? On this miserable paper? I might as well open the window and kiss the night air.,Franz Kafka,"kiss, letters, love, night",Existencialismo (influência) / Absurdo
"He who is in love is wise and is becoming wiser, sees newly every time he looks at the object beloved, drawing from it with his eyes and his mind those virtues which it possesses.",Ralph Waldo Emerson,love,Transcendentalismo
"What made me run away was doubtless not so much the fear of settling down, but of settling down permanently in something ugly.",Albert Camus,"life, love, romance",Existencialismo / Absurdismo
It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve and bad things are very easy to get. ,Confucius,"hard, love",Confucionismo
"We join spokes together in a wheel, but it is the center hole that makes the wagon move.We shape clay into a pot, but it is the emptiness insidethat holds whatever we want.We hammer wood for a house, but it is the inner spacethat makes it livable.We work with being, but non-being is what we use.",Lao Tzu,"inspirational, love, philosophy, poetry",Taoismo
The Artist always has the masters in his eyes.,Ralph Waldo Emerson,"ambition, art, artist, eyes, love, master, work",Transcendentalismo
"It answers the question that was tormenting you: my love, you are not 'one thing in my life' - not even the most important - because my life no longer belongs to me because...you are always me.",Jean-Paul Sartre,"identity, love, personal-papers",Existencialismo
"Because of a great love, one is courageous.",Lao Tzu,love,Taoismo
"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson,"inspirational, life",Transcendentalismo
Nobody realizes that some people expend tremendous energy merely to be normal.,Albert Camus,"humanity, life, mankind, mortality",Existencialismo / Absurdismo
Live to the point of tears.,Albert Camus,"life, living",Existencialismo / Absurdismo
He who has a why to live for can bear almost any how.,Friedrich Nietzsche,"how, life, purpose, questioning, questions, why",Niilismo / Existencialismo (precursor)
A good traveler has no fixed plans and is not intent on arriving.,Lao Tzu,"life, travel",Taoismo
It does not matter how slowly you go as long as you do not stop.,Confucius,"education, inspirational, life, perseverance",Confucionismo
"It is not the length of life, but the depth.",Ralph Waldo Emerson,life,Transcendentalismo
"I am awfully greedy; I want everything from life. I want to be a woman and to be a man, to have many friends and to have loneliness, to work much and write good books, to travel and enjoy myself, to be selfish and to be unselfish… You see, it is difficult to get all which I want. And then when I do not succeed I get mad with anger.",Simone de Beauvoir,"anger, books, friends, greedy, life, loneliness, man, myself, selfish, travel, woman, work, write",Existencialismo / Feminismo
